manifest_index,source_file,cleaned_file_manifest,cleaned_file_local,cleaned_file_exists,cleaned_chars_manifest,has_competition_term_anywhere,business_file_manifest,has_business_section
88,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1013880\2023-02-28__TTEC Holdings, Inc.__0001558370-23-002371.txt","2023_10K_cleaned\2023-02-28__TTEC Holdings, Inc.__0001558370-23-002371.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-28__TTEC Holdings, Inc.__0001558370-23-002371.txt",True,371114,True,,False
103,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1016504\2023-09-15__INTEGRATED BIOPHARMA INC__0001437749-23-026022.txt,2023_10K_cleaned\2023-09-15__INTEGRATED BIOPHARMA INC__0001437749-23-026022.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-09-15__INTEGRATED BIOPHARMA INC__0001437749-23-026022.txt,True,164895,True,,False
108,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\101778\2023-02-16__MARATHON OIL CORP__0000101778-23-000030.txt,2023_10K_cleaned\2023-02-16__MARATHON OIL CORP__0000101778-23-000030.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__MARATHON OIL CORP__0000101778-23-000030.txt,True,411929,True,,False
120,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1020214\2023-03-01__CERUS CORP__0000950170-23-005558.txt,2023_10K_cleaned\2023-03-01__CERUS CORP__0000950170-23-005558.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__CERUS CORP__0000950170-23-005558.txt,True,529538,True,,False
130,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1021860\2023-02-14__NOV Inc.__0000950170-23-002767.txt,2023_10K_cleaned\2023-02-14__NOV Inc.__0000950170-23-002767.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-14__NOV Inc.__0000950170-23-002767.txt,True,296272,True,,False
143,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1023313\2023-03-10__FORRESTER RESEARCH, INC.__0000950170-23-007151.txt","2023_10K_cleaned\2023-03-10__FORRESTER RESEARCH, INC.__0000950170-23-007151.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-10__FORRESTER RESEARCH, INC.__0000950170-23-007151.txt",True,207499,True,,False
145,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1023459\2023-10-27__Simulations Plus, Inc.__0001023459-23-000124.txt","2023_10K_cleaned\2023-10-27__Simulations Plus, Inc.__0001023459-23-000124.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-10-27__Simulations Plus, Inc.__0001023459-23-000124.txt",True,307271,True,,False
157,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1026214\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,2023_10K_cleaned\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,True,1553,False,,False
167,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1030192\2023-03-31__Idaho Strategic Resources, Inc.__0001654954-23-003968.txt","2023_10K_cleaned\2023-03-31__Idaho Strategic Resources, Inc.__0001654954-23-003968.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__Idaho Strategic Resources, Inc.__0001654954-23-003968.txt",True,246953,True,,False
170,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1031093\2023-01-26__SILVER BULL RESOURCES, INC.__0001079973-23-000131.txt","2023_10K_cleaned\2023-01-26__SILVER BULL RESOURCES, INC.__0001079973-23-000131.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-26__SILVER BULL RESOURCES, INC.__0001079973-23-000131.txt",True,212603,True,,False
172,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1031235\2023-03-28__Global Self Storage, Inc.__0000950170-23-010358.txt","2023_10K_cleaned\2023-03-28__Global Self Storage, Inc.__0000950170-23-010358.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-28__Global Self Storage, Inc.__0000950170-23-010358.txt",True,248456,True,,False
177,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1031623\2023-03-29__GULF ISLAND FABRICATION INC__0000950170-23-010406.txt,2023_10K_cleaned\2023-03-29__GULF ISLAND FABRICATION INC__0000950170-23-010406.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-29__GULF ISLAND FABRICATION INC__0000950170-23-010406.txt,True,343836,True,,False
187,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1034760\2023-03-31__WIDEPOINT CORP__0001654954-23-003960.txt,2023_10K_cleaned\2023-03-31__WIDEPOINT CORP__0001654954-23-003960.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__WIDEPOINT CORP__0001654954-23-003960.txt,True,251810,True,,False
188,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1034842\2023-03-07__RIGEL PHARMACEUTICALS INC__0001558370-23-003035.txt,2023_10K_cleaned\2023-03-07__RIGEL PHARMACEUTICALS INC__0001558370-23-003035.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-07__RIGEL PHARMACEUTICALS INC__0001558370-23-003035.txt,True,614340,True,,False
189,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1035002\2023-02-23__VALERO ENERGY CORP_TX__0001035002-23-000027.txt,2023_10K_cleaned\2023-02-23__VALERO ENERGY CORP_TX__0001035002-23-000027.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__VALERO ENERGY CORP_TX__0001035002-23-000027.txt,True,388950,True,,False
193,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1035354\2023-03-31__Eloxx Pharmaceuticals, Inc.__0000950170-23-011360.txt","2023_10K_cleaned\2023-03-31__Eloxx Pharmaceuticals, Inc.__0000950170-23-011360.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__Eloxx Pharmaceuticals, Inc.__0000950170-23-011360.txt",True,447548,True,,False
195,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\103595\2023-10-11__VILLAGE SUPER MARKET INC__0000103595-23-000014.txt,2023_10K_cleaned\2023-10-11__VILLAGE SUPER MARKET INC__0000103595-23-000014.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-10-11__VILLAGE SUPER MARKET INC__0000103595-23-000014.txt,True,158016,True,,False
198,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1036044\2023-03-16__Identiv, Inc.__0000950170-23-008269.txt","2023_10K_cleaned\2023-03-16__Identiv, Inc.__0000950170-23-008269.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-16__Identiv, Inc.__0000950170-23-008269.txt",True,255779,True,,False
217,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1039280\2023-09-22__NETSOL TECHNOLOGIES INC__0001493152-23-033429.txt,2023_10K_cleaned\2023-09-22__NETSOL TECHNOLOGIES INC__0001493152-23-033429.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-09-22__NETSOL TECHNOLOGIES INC__0001493152-23-033429.txt,True,302758,True,,False
218,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1039399\2023-02-24__FORMFACTOR INC__0001039399-23-000010.txt,2023_10K_cleaned\2023-02-24__FORMFACTOR INC__0001039399-23-000010.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__FORMFACTOR INC__0001039399-23-000010.txt,True,285402,True,,False
219,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1039466\2023-01-10__NovAccess Global Inc.__0001185185-23-000020.txt,2023_10K_cleaned\2023-01-10__NovAccess Global Inc.__0001185185-23-000020.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-10__NovAccess Global Inc.__0001185185-23-000020.txt,True,202365,True,,False
239,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1042187\2023-04-12__Yunhong CTI Ltd.__0001493152-23-011960.txt,2023_10K_cleaned\2023-04-12__Yunhong CTI Ltd.__0001493152-23-011960.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-12__Yunhong CTI Ltd.__0001493152-23-011960.txt,True,223090,True,,False
240,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1042418\2023-03-31__Inhibitor Therapeutics, Inc.__0001493152-23-010383.txt","2023_10K_cleaned\2023-03-31__Inhibitor Therapeutics, Inc.__0001493152-23-010383.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__Inhibitor Therapeutics, Inc.__0001493152-23-010383.txt",True,272444,True,,False
242,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1042729\2023-03-03__MERCANTILE BANK CORP__0001437749-23-005339.txt,2023_10K_cleaned\2023-03-03__MERCANTILE BANK CORP__0001437749-23-005339.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-03__MERCANTILE BANK CORP__0001437749-23-005339.txt,True,418843,True,,False
257,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1043961\2023-03-30__Precipio, Inc.__0001558370-23-005076.txt","2023_10K_cleaned\2023-03-30__Precipio, Inc.__0001558370-23-005076.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-30__Precipio, Inc.__0001558370-23-005076.txt",True,339966,True,,False
258,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1044378\2023-04-17__BIOCEPT INC__0000950170-23-013109.txt,2023_10K_cleaned\2023-04-17__BIOCEPT INC__0000950170-23-013109.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-17__BIOCEPT INC__0000950170-23-013109.txt,True,557642,True,,False
259,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1044777\2023-02-28__OneSpan Inc.__0001628280-23-005639.txt,2023_10K_cleaned\2023-02-28__OneSpan Inc.__0001628280-23-005639.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-28__OneSpan Inc.__0001628280-23-005639.txt,True,364444,True,,False
261,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\10456\2023-02-09__BAXTER INTERNATIONAL INC__0001628280-23-002864.txt,2023_10K_cleaned\2023-02-09__BAXTER INTERNATIONAL INC__0001628280-23-002864.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-09__BAXTER INTERNATIONAL INC__0001628280-23-002864.txt,True,472506,True,,False
269,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1046102\2023-02-21__RITCHIE BROS AUCTIONEERS INC__0001558370-23-001652.txt,2023_10K_cleaned\2023-02-21__RITCHIE BROS AUCTIONEERS INC__0001558370-23-001652.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__RITCHIE BROS AUCTIONEERS INC__0001558370-23-001652.txt,True,463272,True,,False
273,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1046995\2023-03-10__EMAGIN CORP__0001046995-23-000007.txt,2023_10K_cleaned\2023-03-10__EMAGIN CORP__0001046995-23-000007.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-10__EMAGIN CORP__0001046995-23-000007.txt,True,330183,True,,False
278,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1047862\2023-02-16__CONSOLIDATED EDISON INC__0001047862-23-000038.txt,2023_10K_cleaned\2023-02-16__CONSOLIDATED EDISON INC__0001047862-23-000038.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__CONSOLIDATED EDISON INC__0001047862-23-000038.txt,True,724158,True,,False
283,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\104889\2023-02-24__Graham Holdings Co__0000104889-23-000021.txt,2023_10K_cleaned\2023-02-24__Graham Holdings Co__0000104889-23-000021.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__Graham Holdings Co__0000104889-23-000021.txt,True,530811,True,,False
285,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\104894\2023-02-17__Elme Communities__0000104894-23-000028.txt,2023_10K_cleaned\2023-02-17__Elme Communities__0000104894-23-000028.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__Elme Communities__0000104894-23-000028.txt,True,444486,True,,False
286,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1049011\2023-04-18__KID CASTLE EDUCATIONAL CORP__0001493152-23-012639.txt,2023_10K_cleaned\2023-04-18__KID CASTLE EDUCATIONAL CORP__0001493152-23-012639.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-18__KID CASTLE EDUCATIONAL CORP__0001493152-23-012639.txt,True,248487,True,,False
288,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1049502\2023-03-14__MKS INSTRUMENTS INC__0000950170-23-007851.txt,2023_10K_cleaned\2023-03-14__MKS INSTRUMENTS INC__0000950170-23-007851.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-14__MKS INSTRUMENTS INC__0000950170-23-007851.txt,True,454901,True,,False
290,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1049606\2023-03-01__COMPX INTERNATIONAL INC__0001558370-23-002573.txt,2023_10K_cleaned\2023-03-01__COMPX INTERNATIONAL INC__0001558370-23-002573.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__COMPX INTERNATIONAL INC__0001558370-23-002573.txt,True,134629,True,,False
297,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1050743\2023-03-13__PEAPACK GLADSTONE FINANCIAL CORP__0000950170-23-007575.txt,2023_10K_cleaned\2023-03-13__PEAPACK GLADSTONE FINANCIAL CORP__0000950170-23-007575.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-13__PEAPACK GLADSTONE FINANCIAL CORP__0000950170-23-007575.txt,True,431367,True,,False
307,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1052354\2023-03-28__MAN AHL DIVERSIFIED I LP__0001193125-23-082300.txt,2023_10K_cleaned\2023-03-28__MAN AHL DIVERSIFIED I LP__0001193125-23-082300.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-28__MAN AHL DIVERSIFIED I LP__0001193125-23-082300.txt,True,234873,True,,False
314,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1053584\2023-02-16__MACATAWA BANK CORP__0001140361-23-007466.txt,2023_10K_cleaned\2023-02-16__MACATAWA BANK CORP__0001140361-23-007466.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-16__MACATAWA BANK CORP__0001140361-23-007466.txt,True,316884,True,,False
316,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1053706\2023-03-02__CRA INTERNATIONAL, INC.__0001053706-23-000007.txt","2023_10K_cleaned\2023-03-02__CRA INTERNATIONAL, INC.__0001053706-23-000007.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-02__CRA INTERNATIONAL, INC.__0001053706-23-000007.txt",True,271129,True,,False
324,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1056288\2023-02-24__FEDERATED HERMES, INC.__0001056288-23-000006.txt","2023_10K_cleaned\2023-02-24__FEDERATED HERMES, INC.__0001056288-23-000006.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__FEDERATED HERMES, INC.__0001056288-23-000006.txt",True,471147,True,,False
329,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1056943\2023-03-15__PEOPLES FINANCIAL SERVICES CORP.__0001558370-23-003863.txt,2023_10K_cleaned\2023-03-15__PEOPLES FINANCIAL SERVICES CORP.__0001558370-23-003863.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-15__PEOPLES FINANCIAL SERVICES CORP.__0001558370-23-003863.txt,True,465051,True,,False
330,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1057060\2023-11-17__MARINEMAX INC__0000950170-23-064785.txt,2023_10K_cleaned\2023-11-17__MARINEMAX INC__0000950170-23-064785.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-17__MARINEMAX INC__0000950170-23-064785.txt,True,362489,True,,False
331,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1057083\2023-03-16__PC TEL INC__0000950170-23-008395.txt,2023_10K_cleaned\2023-03-16__PC TEL INC__0000950170-23-008395.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-16__PC TEL INC__0000950170-23-008395.txt,True,209776,True,,False
333,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1057379\2023-03-03__HACKETT GROUP, INC.__0000950170-23-005957.txt","2023_10K_cleaned\2023-03-03__HACKETT GROUP, INC.__0000950170-23-005957.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-03__HACKETT GROUP, INC.__0000950170-23-005957.txt",True,211136,True,,False
344,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1059142\2023-02-23__Greystone Housing Impact Investors LP__0000950170-23-003950.txt,2023_10K_cleaned\2023-02-23__Greystone Housing Impact Investors LP__0000950170-23-003950.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__Greystone Housing Impact Investors LP__0000950170-23-003950.txt,True,652043,True,,False
345,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1059262\2023-02-24__SP Plus Corp__0000950170-23-004261.txt,2023_10K_cleaned\2023-02-24__SP Plus Corp__0000950170-23-004261.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__SP Plus Corp__0000950170-23-004261.txt,True,323145,True,,False
348,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1060224\2023-02-24__LIFE STORAGE LP__0000950170-23-004415.txt,2023_10K_cleaned\2023-02-24__LIFE STORAGE LP__0000950170-23-004415.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-24__LIFE STORAGE LP__0000950170-23-004415.txt,True,365450,True,,False
354,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1061027\2023-03-14__Viracta Therapeutics, Inc.__0000950170-23-007905.txt","2023_10K_cleaned\2023-03-14__Viracta Therapeutics, Inc.__0000950170-23-007905.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-14__Viracta Therapeutics, Inc.__0000950170-23-007905.txt",True,597669,True,,False
356,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1061164\2023-10-27__PEREGRINE INDUSTRIES INC__0001477932-23-007895.txt,2023_10K_cleaned\2023-10-27__PEREGRINE INDUSTRIES INC__0001477932-23-007895.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-10-27__PEREGRINE INDUSTRIES INC__0001477932-23-007895.txt,True,63270,True,,False
357,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1061219\2023-02-28__ENTERPRISE PRODUCTS PARTNERS L.P.__0001061219-23-000006.txt,2023_10K_cleaned\2023-02-28__ENTERPRISE PRODUCTS PARTNERS L.P.__0001061219-23-000006.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-28__ENTERPRISE PRODUCTS PARTNERS L.P.__0001061219-23-000006.txt,True,765864,True,,False
372,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1065088\2023-02-23__EBAY INC__0001065088-23-000006.txt,2023_10K_cleaned\2023-02-23__EBAY INC__0001065088-23-000006.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__EBAY INC__0001065088-23-000006.txt,True,395704,True,,False
376,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\106535\2023-02-17__WEYERHAEUSER CO__0000950170-23-003217.txt,2023_10K_cleaned\2023-02-17__WEYERHAEUSER CO__0000950170-23-003217.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-17__WEYERHAEUSER CO__0000950170-23-003217.txt,True,369096,True,,False
387,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1066923\2023-04-19__Future FinTech Group Inc.__0001213900-23-031057.txt,2023_10K_cleaned\2023-04-19__Future FinTech Group Inc.__0001213900-23-031057.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-19__Future FinTech Group Inc.__0001213900-23-031057.txt,True,520342,True,,False
392,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1067983\2023-02-27__BERKSHIRE HATHAWAY INC__0000950170-23-004451.txt,2023_10K_cleaned\2023-02-27__BERKSHIRE HATHAWAY INC__0000950170-23-004451.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-27__BERKSHIRE HATHAWAY INC__0000950170-23-004451.txt,True,485275,True,,False
401,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1069308\2023-03-27__Acer Therapeutics Inc.__0000950170-23-009992.txt,2023_10K_cleaned\2023-03-27__Acer Therapeutics Inc.__0000950170-23-009992.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-27__Acer Therapeutics Inc.__0000950170-23-009992.txt,True,677873,True,,False
