audit_category,audit_reason,manifest_index,source_file,cleaned_file_manifest,cleaned_file_local,cleaned_file_exists,cleaned_chars_manifest,has_competition_term_anywhere,business_file_manifest,has_business_section,recheck_found_business,recheck_section_source,recheck_business_file
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,157,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1026214\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,2023_10K_cleaned\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037.txt,True,1553,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-02-22__FEDERAL HOME LOAN MORTGAGE CORP__0001026214-23-000037_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,463,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036473.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036473.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036473.txt,True,14949,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036473_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,464,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036474.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036474.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036474.txt,True,15446,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036474_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,465,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036475.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036475.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036475.txt,True,15012,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036475_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,466,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036476.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036476.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036476.txt,True,14994,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036476_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,467,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036477.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036477.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036477.txt,True,15426,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036477_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,468,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036478.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036478.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036478.txt,True,15450,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036478_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,469,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036479.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036479.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036479.txt,True,11316,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036479_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,470,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036481.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036481.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036481.txt,True,11360,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036481_business.txt
business_header_only,Business header detected but section content is too short; likely over-cleaned in prior step.,471,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1083199\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036482.txt,2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036482.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036482.txt,True,15047,False,,False,True,business_header_only,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-03-24__WORLD OMNI AUTO RECEIVABLES LLC__0001104659-23-036482_business.txt
